indices,y_error_pred,label,sentence,probability
12,房产,时政,审计署：10省区市5837万支农款用于建房买车本报讯 （记者杨华云）审计署昨日发布的2009年第4号审计结果公告披露，河南、甘肃等10省区市财政和有关主管部门违规使用资金26.93亿元，其中，用于建房买车5837.4万元。审计署向社会公布了河南、甘肃、山西、黑龙江、江苏、湖南、福建、陕西、内蒙古和重庆10省区市财政支农资金管理使用情况审计调查结果。审计调查发现，财政支农资金分配、使用和管理不够规范的问题普遍存在，10省区市财政和有关主管部门违规使用资金26.93亿元，其中用于建房买车5837.4万元；不规范管理资金45.75亿元；配套资金不到位65.97亿元。审计调查还发现，部分项目资金使用效益较差。在应于2007年底完成的86个财政支农项目中，有32个未达到设计要求和预期目标，占抽查项目总数的37%，致使已到位的8.24亿元支农资金未能充分发挥效益。此外，年初华北大旱暴露出的抗旱基础设施不足的问题得到证实。审计发现农业基础设施投入仍然不足，其中防汛抗旱监测预警系统建设滞后，2003至2007年，陕西、重庆等8省市防汛抗旱监测预警系统建设投入1.31亿元，仅占其同期防汛抗旱经费投入的4％，截至2008年3月，8省市设立的水情监测站尚不足水利部要求的一半。相关阅读：审计署：10省区市违规使用支农资金26亿,0.6257255673408508
13,房产,家居,携手当代节能置业 日立电梯再添战略合作伙伴当地节能置业股份有限公司与日立电梯(中国)有限公司在北京当代MOMA签署战略合作协议。未来，日立电梯将为当代节能置业旗下众多房地产项目提供具有一流国际化品质、绿色节能的电梯、扶梯产品。当代节能置业通过与日立电梯等品牌供应商的战略合作，共同运用节能技术和前沿科技，为消费者缔造出更多的节能建筑。当代节能置业一直致力于为广大消费者开发舒适而节能的住宅产品，公司先后开发建设了万国城MOMA、POP MOMA、上第MOMA、MOMA万万树、当代MOMA等项目。随着日立电梯与当代节能置业的联盟，日立电梯将陆续参与万国城MOMA (长沙)、万国城MOMA(太原)等项目，并为当代节能置业提供节能环保的电梯技术与绿色产品。双方也将在“科技建筑美好生活”开发理念的指导下，共同努力，在尊重自然、节能环保的基础上全面提升人居品质，让更广大的消费者享有更舒适节能的人居环境。万科集团和日立电梯的战略合作已经成为一段佳话，合作有9年之久。日立作为电梯的战略供应商，在万科联合发展中心网站中被列入了“联合发展计划”。据万科的相关负责人介绍，万科和日立电梯独创的“订单式”采购模式，大大精简了采购环节，提高了采购效率。万科在降低成本的同时，也获得持续的质量保证。此次日立电梯与当代的携手，使其战略合作伙伴的阵营里又增加一重量级合作伙伴。据不完全统计，日立电梯已万科、富力、合生创展、华润、当代等数十家开发商建立起战略合作伙伴的关系，成为房地产行业最大的电梯战略供应商。作为日立在海外最大的电梯合资公司，日立电梯(中国)有限公司自1996年正式开业以来，研发、制造、营销、服务能力不断增强，现已成为中国市场上规模最大、实力最强的电梯企业之一。秉承日立领先全球的尖端技术和优良的产品质量，日立的电、扶梯产品因其优质高效和节能环保而倍受市场青睐。此前，日立电梯曾为广州第一高楼——中信广场、中国第一高楼——上海环球金融中心、四川第一高楼——喜年广场等诸多标志性建筑提供产品与服务。据悉，日立是全球企业500强的跨国集团，拥有超过80年的电梯研发与制造经验。作为日立在海外最大的电梯合资公司，多年来，日立电梯(中国)有限公司一直致力于推动中国都市生活的现代化进程，竭诚为中国社会提供高品质的产品和服务。凭借“一个总部(广州)、两大研发中心(广州、上海)和三大制造基地(广州、天津、上海)”的研发和制造实力，以及遍布全国各大城市的分支机构和服务网络，日立电梯积极发挥其在一个世纪发展历程中所积累的雄厚技术力量和丰富经验，为中国市场众多用户提供最专业的楼宇交通解决方案。 ,0.6873676776885986
15,房产,家居,医护公寓私人游泳池 水中瑜伽一小时(图)患产前抑郁症 水中“孕动”没商量不久前有媒体报道胡静患有严重的产前抑郁症，朱家的私人医生给胡静开出了一个方子：每日在水中练瑜伽1个小时。    不过，胡静日前通过新浪博客告诉粉丝：“我和宝宝一切都好，虽然还没有见过他，但他的出生有你们的祝福，我将不会害怕分娩的痛苦，亦有信心去做一个优秀的妈妈，除此之外会尽快开始新的工作。”,0.5548754334449768
20,游戏,家居,挑T总动员-求爱篇图为漫画图为漫画图为漫画图为漫画,0.8189961314201355
26,房产,时政,"住建部要求开展在建住宅工程质量检查中广网北京7月3日消息 据中国之声《新闻和报纸摘要》9时21分报道，上海市闵行区""莲花河畔景苑""在建的13层住宅楼房楼体倒塌事故引发各界对住宅质量安全的高度关注。为确保在建住宅工程质量，住房和城乡建设部2号发出紧急通知，要求全国各地区立即开展在建住宅工程质量检查。详细情况中国之声连线记者刘玉蕾进行报道——中国之声：这次的质量检查从什么时候开始？检查范围主要有哪些？记者：住房和城乡建设部的领导介绍说，此次检查范围包括保障性住房和商品住房等各类在建住宅工程。主要是检查工程实体质量情况，特别是工程地基基础和主体结构的勘察、设计及施工质量。对建设、勘察、设计、施工、监理等责任主体和施工图审查、质量检测等有关单位及项目经理、总监理工程师等执业人员执行国家法律、法规和工程建设强制性标准的情况都要进行检查。住房城乡建设部要求各地要在7月30号前将检查情况通报上来，同时建设部也将在7月到9月到各地组织督查。中国之声：看来这将是一次全面的检查，从规划、施工许可、招投标到资质管理、工程监理的各个环节都要逐一检查，检查的目的就是要防患于未然？记者：是的。实际上，这次上海闵行区莲花河畔景苑在建楼房整体倒塌前一天，工地旁边的防汛墙出现了一个70多米的塌方险情，即使两起事件没有关联，但都说明建筑过程中一定存在了很大的问题。因此建设部指导：各地在检查工作中，要认真记录、如实填写检查记录和受检工程相关质量的信息数据。发现质量隐患，及时采取整改措施，做到边查边改；涉及结构安全重大隐患的，立即停工整改，隐患消除前不得复工；对于情况复杂，短期内难以完成整改的，制定切实可行的整改方案并限期整改，加强隐患监控，落实防范措施，防止发生质量安全事故。",0.6998087167739868
40,游戏,科技,多方面发展1亿广告费 汉王前（钱）途似锦11月10日下午两点，汉王科技股份有限公司 董事长 刘迎建作客中关村在线风雨对话。刘迎建先生就网友提出的各种技术问题和市场问题进行了解答。网友：汉王出了7款阅读器，是哪个方向的，是不是针对中国的特色？在开拓国外的时候，是不是每个语种都要有小的构想？ 刘迎建：第一类是商务类，里面放的书主要是公务、商务，把会议、资料放进里面，还有商务人士自己看。 第二类是教育类，里面放了很多的字典、教材，给学生用。 第三类消费类、娱乐类，里面有很多的MP3，有很多消费类的书。 这三类都在海外有销售，欧洲特别是德国卖商务类的多一点，俄罗斯卖消费类多一点。所以国内国外都有销售，当前是三类。 网友：你们的产品很好，但是在宣传上有没有比产品更好的方法？ 刘迎建：在宣传上今年也是做的很大的投入，因为市场是需要教育，现在是导入期。今年预算是投1个亿的广告费，现在已经投了有6000万了，年底要请的许晴当代言人，还在中央电视台花2000万左右的做电视广告。 主持人：国内的企业中，特别是民营企业中，如果花费做研发，企业家们都肯花费。但是做广告宣传的时候，他们就很心痛这些钱。我看刘总在这些问题好像很勇敢，希望我们今天在互联网上看到更多的产品的宣传。,0.42083245515823364
63,游戏,体育,NCAA2010-11赛季回顾：这战国时代的灰姑娘童话！关键词：双雄会在这个被大一新生统治的年代里，已经好几年没有出现像今年弗雷戴特和坎巴-沃克这样的老生双雄会了。从赛季初毛伊邀请赛沃克狂飙开始，这两名根本无法阻挡的后卫似乎就较上了劲。只要其中一人打出一场高分表演，另一个人就一定会在短期内以一场同样精彩的发挥来证明自己——沃克多次打出三双，弗雷戴特更是打出过52分。两人不仅一度在得分榜上纠缠不清，他们率领的球队成绩也节节攀升，在他们的带领，康大和BYU都打出了远远超出预料的水准。双雄会的结果也可谓是皆大欢喜——弗雷戴特赢了个人荣誉，包揽了得分王，最佳球员和奈史密斯奖；而沃克的康大则以11连胜连夺分区锦标赛和全国锦标赛两个冠军，自己收走了四强战MOP。数年以后人们再提到这个赛季时，一定不会忘记这两个神一般呼风唤雨的小个子之间的较量。关键词：战国时代今年的NCAA是豪强并起的一年，堪萨斯、杜克、匹兹堡、德克萨斯、俄亥俄州立，几只球队实力都很强大，但都有比较明显的弱点，也没有强大到可以独霸全国第一宝座。赛季初杜克携卫冕冠军之勇连续占据着全国第一，然而凯利-欧文受伤给他们带来了巨大影响，败给佛罗里达州立后让出了头名。随后的几个星期内神奇的“全国第一魔咒”轮番降临在几支球队头上——谁当周被美联社评为全国第一，那一周就要输球。这样的局面也催生了几场极为精彩的大战——德克萨斯挑翻堪萨斯、威斯康辛三分射死俄亥俄州立和堪萨斯州立力克堪萨斯等。最终在你争我夺中俄亥俄州立后半赛季占了些许上风，但最终的结果也证明了只用6人轮换的他们并不是一支超级强队。关键词：黑马/灰姑娘传奇这两个词其实是每年NCAA都有的关键词，而今年尤其为甚。四强中有当初被选进锦标赛时被骂的狗血淋头的11号种子VCU和差点就倒在门槛上的8号种子巴特勒，前者重现了5年前乔治-梅森的神话，而后者则连续第二年一黑黑到了决赛。而3号种子康涅狄格在1个月前甚至在大东锦标赛中都只能排老9。今年的全国锦标赛经历了略显平淡的第一轮后，从第二轮开始接连爆出大冷门，害惨了无数人的Brackets。关键词：天才巨星哈里森-巴恩斯，贾里德-萨林杰，凯利-欧文，德里克-威廉姆斯，这些年轻人的名字早已被球迷们所熟知。萨林杰入选了全国第一阵容，巴恩斯贡献了两次压哨绝杀，欧文在他健康的时候一直是全国最好的控卫之一，威廉姆斯让老牌强队亚利桑那重现辉煌，在不远的未来，NBA中将会出现他们的身影。关键词：超级大东凭借最后关头辛辛那提、马奎特和西弗吉尼亚的强力发挥，大东区创造了11支球队杀入锦标赛这一神话般的历史记录，并且最终康大代表他们拿到了全国冠军证明了“我们大东球队不是到全国锦标赛就翻船的窝里横”。即使是11个球队中实力相对最差的马奎特，也在全国锦标赛中暴虐了A-10老大泽维尔，还爆冷了同区3号种子雪城，分区第二的圣母还拿走了最佳教练的荣誉，大东区实力之强可见一斑。关键词：高开低走大十分区的三支球队——密歇根州立、伊利诺伊和明尼苏达度过了相当让人失望的一个赛季。前二者开赛前被广泛看好，排进全国前15，后者在波多黎各巡回赛夺冠后也加入了全国前25的行列，大十分区一度被认为可以和大东抗衡。而随着赛季的进行三支球队逐渐迷失，接连输球，前两者锦标赛“打了个酱油”便出局，而明尼苏达干脆连锦标赛都没打进。关键词：野百合的春天除了不可一世的大东区和大十二区外，其他各个大赛区今年实力都不是特别强：大十赛区后半程乏力、太平洋十分区还未从去年的低谷中走出、大西洋海岸赛区只有杜克和北卡够看、东南赛区的球队们相比篮球从来都更擅长玩橄榄球。这就给了小赛区的球队们做出点事情的机会——山西赛区双雄圣迭戈州立和BYU长期位居全国前10；殖民地分区三支球队打入锦标赛，VCU更是杀入四强；西海岸分区的圣玛丽、西部运动赛区的犹他州立和A-10赛区的天普、泽维尔轮番保持着全国前25名额。关键词：过山车这个词用来形容今年的北卡和堪萨斯州立再合适不过了。赛季初双双被认定为全国前10的强队，赛季刚开打就接连输球，战绩和排名迅速下滑，但赛季中后段突然发力，北卡在肯德尔-马绍尔上位后掀起快打旋风，堪萨斯州立则在找回状态的普伦的带领下一路回飙，最终都拿到了不错的种子排位。(silencer),0.57977694272995
87,游戏,科技,OPPO最新力作正式上市 S33报价599元OPPO S33作为年轻时尚学生族最盼望的产品，以其绚丽的UI，好玩的魔法小插件，全面升级的影音体验获得玩家的青睐。目前这款产品已经正式上市，报价为4GB容量599元。OPPO S33容量：4GB 报价：599元编辑点评：OPPO S33拥有蔷薇粉、曜石黑情侣双款双色，竖版的设计有别于市面上大多数的MP4，乍看之下像精致的手机。3.0英寸屏幕大小兼具便携性和视觉效果，1600万色24位真彩触摸屏，色彩完美还原。OPPO S33在音频播放方面支持频谱、歌词的动态Flash UI全屏显示。ID3信息管理更加智能化，可显示专辑封面，对歌曲进行分类管理。Flac，APE双无损格式音乐播放，同时支持音频淡入淡出，并贴心地加入了护耳模式。OPPO S33除了支持主流的RMVB、RM、FLV、DAT等多种格式之外，还支持视频截图和视频书签，随时留住影视的精彩片段，非常实用。断点播放，护眼模式、电子书TTS文本朗读等功能都是用户经常用到的。,0.67622309923172
168,时政,财经,税务总局明确QFII缴税相关问题记者20日从国家税务总局获悉，税务总局近日发出通知指出，合格境外机构投资者（QFII）所得来源于中国境内的股息、红利和利息收入，应当按照企业所得税法规定缴纳10%的企业所得税。通知同时指出，如果是股息、红利，则由派发股息、红利的企业代扣代缴；如果是利息，则由企业在支付或到期应支付时代扣代缴。通知称，QFII取得股息、红利和利息收入，需要享受税收协定待遇的，可向主管税务机关提出申请，主管税务机关审核无误后按照税收协定的规定执行；涉及退税的，应及时予以办理。通知要求，各地税务机关应了解QFII在我国从事投资的情况，及时提供税收服务，建立税收管理档案，确保代扣代缴税款及时足额入库。,0.36647361516952515
212,时政,游戏,北京第三届优秀软件构件评选结果揭晓2010年1月6日下午，由北京市科学技术委员会支持，北京软件行业协会、北京软件与信息服务业促进中心和北京软件产业基地公共技术支撑体系主办，北京软件产品质量检测检验中心与北京大学承办，北京市科学技术委员会人才交流中心协办的北京第三届优秀软件构件评选颁奖典礼在丽亭华苑酒店召开，由北京软件产品质量检测检验中心吴铸成副主任主持典礼，围绕“实现科技资源开放共享，推进自主创新能力提升”这一主题展开深入交流与探讨。北京市科学技术委员会条件财务处张信副处长、北京软件行业协会会长华平澜、国家863计划专家组专家、北京大学信息科技学院院长梅宏教授、科技部高技术中心信息处褚诚缘主任、北京软件产品质量检测检验中心胡青华主任、北京科学仪器装备协作服务中心孙月琴副主任、北京市科学技术委员会人才交流中心主任助理王彤彦、首都科技条件平台电子信息领域主管阿孜古丽等政府领导和行业专家出席了颁奖典礼。构件评选旨在宣传构件技术，帮助企业降低开发成本、提高生产效率、加强业内沟通、培育典型优秀企业及产品，全面展示北京市科技企业发展的丰硕成果。活动期间组织单位积极为企业和高校连续开办多场技术培训、讲座以及交流会，共享当前的最新技术理论和观点，搭建了用户对优秀科技产品和服务的认知平台。第三届评选活动于07年正式启动，为了进一步加强软件构件技术在实际过程中的应用，培养优秀构件技术人才，促进学以致用，本届活动除企业参选以外，还增加了高校参评对象的范围，同时，评选奖项类别也大幅增加。通过与前两届对比，可以发现两个显著的特点：一是报名参加的企业明显增多；二是参评构件的质量有了明显的提高，其中有相当数量的构件已经是企业的市场产品。这说明了，软件构件技术在软件生产过程技术改造，推动社会经济发展方面，发挥着重要作用。评选在公平、公正、公开的原则下，参评构件经过专业的文档评审、第三方测试和专家评议，最终，来自北京超图、神州数码、北京宝迪、鸿合科技、金山软件、深蓝创娱等20家企业和北京大学、北京工业大学、北京林业大学、华北电力大学、中国石油大学、北京交通大学六所院校的数十款优秀构件从提交的两百余个构件中脱颖而出。颁奖典礼上，各位领导对评选活动给与了高度的评价和充分的肯定，对企业和院校积极开展可复用技术和产品研发给与了表扬和鼓励，并为获奖单位及个人颁发了奖牌和证书。至此，北京第三届优秀软件构件评选活动圆满结束。,0.1939963698387146
303,房产,教育,奉贤有一所中国酒店业的“西点军校”奉贤，因孔子弟子到此讲学，后人为敬奉贤人而得名，尊师重教在这块土地上有着悠久的历史和良好的传统。在这里，既有中国旅游业“黄埔军校”之称的中国第一所旅游专科学校上海旅专，更有被誉为中国酒店业“西点军校”的中国第一所中外合作的酒店管理学院锦江国际理诺士酒店管理学院。锦江国际理诺士酒店管理学院由亚洲排名第一，世界排名第13位的锦江国际集团和全球最大的教育投资机构美国罗瑞特教育集团共同投资，其课程设置经美国新英格兰院校协会(NEASC)和瑞士酒店协会的认证。学院拥有一个由世界级的酒店管理人员组成的行业顾问团，所有的专业教材和教学资料都来自瑞士，游泳极高的专业水准。学院的专业教师均由瑞士理诺士酒店管理学院委派或认证，他们多来自世界上最好的教育机构或酒店。不仅拥有高等教育学历，具备国际教师资格，并且有丰富的高级酒店工作经验，因而他们向学生传授的也不仅仅是书本上的理论知识，更多的是实践经验和操作规范。走进位于奉贤海湾路的锦江国际理诺士酒店管理学院的教学大楼，宽敞明亮的大厅让人感觉仿佛走进了酒店的大堂。这里有宽大的前台，舒适的沙发，水晶立柱透出几分典雅和豪华，原来这里也是学生学习前台服务的课堂。其实，这里除了传统的教室、图书馆、语言实验室等意外，你还可以发现设备先进的多功能厅、模拟客房、西式厨房和餐厅。总之，你能明显感到自己进到了一个与酒店有关的学校。与传统的大学不同，这里向学生们提供的是酒店管理的真实场景，这里有全亚洲酒店管理学院中最完备的教学设备。除课堂授课外，模拟操作、专业辩论、实战演练等都融入所有课程中。在模拟客房，学生们可以学到美式、法式等格式铺床的方法；在厨房，是真材实料的操作；在餐厅，每一个服务细节都要求做到完美无缺。教师的国际化背景，纯英语的教学环境，使得一个个中国学生跨进这个校门的第一天起，就被这里浓浓的国际化气息所包围。渐渐地，他们感觉到的是紧张和严格。以至于锦江国际理诺士酒店管理学院被业内人士称为中国酒店业的“西点军校”！而锦江国际理诺士的学生经过一倒两年的刻苦学习和磨练之后，也个个与众不同，尤其受到国际酒店集团的青睐。,0.43515145778656006
345,时尚,娱乐,"袁莉解释为何穿大胆透视装我能hold住！(图)点击进入袁莉微博：谈穿大胆透视装组图：袁莉黑色透视装登场 极尽性感成焦点新浪娱乐讯  昨天(8月28日)袁莉以一席透视装、丁字裤亮相华表奖红毯，这身行头引起了网友热议。袁莉在新浪微博上则表示已经这样了，就当天气热。之后又表示阴差阳错穿了透视装，但是能hold住她这身衣服的人不多。昨天第14届华表奖已落下帷幕，在这样的盛会上，女明星们的惊艳亮相总能惹起不少谈资。昨天华表奖红毯上最抢眼的当属袁莉的一身黑色蕾丝透视装，以及透视装包裹下显而易见的丁字裤。这身行头遭到了不少网友的非议。对此袁莉不以为然。袁莉似乎一开始自己也没有意识到这身透视装会如此之透，她看到强光下自己的这身装扮时也吓一跳，于昨天18点04分在新浪微博写道：“哦，妈妈咪呀，试衣服的地方灯光没那么亮，这强光！天哪！”接下来袁莉于昨天18点50分在微博中略显无奈的表示：“算了，已然这样了，就当天气热，凉快。”袁莉在看到很多对其穿着的非议之后，今天02点28分在微博中表示感谢这次的阴差阳错借给她的勇气，“不是我太胆大，是有些人太胆小！没什么好后悔的，试衣服时灯光太暗，但我要感谢这阴差阳错借我的勇气，也许这件衣服不是最适合我的，但能hold住这件衣服的也不多！so,what!” 截止到今天10点27分，这条微博已被转发16036次，评论有9066条。对袁莉的透视装亮相华表奖红毯，欧阳奋强(微博)在微博上表示支持袁莉。“国外的每次红地毯，都有影星打扮抢眼，然后就说：你看人家国外的颁奖礼多好、多开放，那才是真正的走红地毯。袁莉一身蕾丝半透视打扮，看见有些人讽刺挖苦，这个我就不理解了：袁莉为什么不能这样打扮？她的打扮至少我看来是可以接受的。不要用双重标准对待她。”程兴家/文",0.8183799386024475
